Subject,Precision,Recall,F-Score
ampersand,0.78,0.75,0.76
angularjs_require,0.84,0.57,0.68
backbone,0.74,0.74,0.74
backbone_require,0.85,0.72,0.78
canjs,0.99,0.75,0.86
canjs_require,0.86,0.58,0.69
dijon,0.99,0.76,0.86
dojo,0.8,0.69,0.74
enyo_backbone,0.2,0.2,0.2
flight,0.79,0.69,0.74
jquery,0.84,0.74,0.79
knockoutjs_require,0.86,0.58,0.69
lavaca_require,0.98,0.36,0.52
mithril,0.5,0.45,0.47
olives,0.78,0.48,0.59
ractive,0.75,0.83,0.79
react,0.62,0.82,0.7
react-alt,0.62,0.8,0.7
sapui5,0.2,0.25,0.22
serenadejs,0.98,0.73,0.84
somajs,0.97,0.85,0.91
somajs_require,0.85,0.58,0.69
spine,0.67,0.73,0.7
troopjs_require,0.82,0.55,0.66
typescript-angular,0.85,0.49,0.62
typescript-backbone,0.81,0.77,0.79
typescript-react,0.71,0.88,0.79
vanillajs,0.14,0.53,0.22
vue,0.8,0.79,0.79
